Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
0.585906982,5.56E-05,2,0.585876465,4.41193E-05,2,0.585906982,2.6767E-05,2,0.58589681,4.21732E-05
0.588317871,5.62E-05,2,0.588409424,4.4577E-05,2,0.588226318,2.69958E-05,2,0.588317871,4.25771E-05
0.590881348,5.68E-05,2,0.590820313,4.51141E-05,2,0.590789795,2.72614E-05,2,0.590830485,4.30532E-05
0.593231201,5.73E-05,2,0.593292236,4.55597E-05,2,0.593200684,2.74902E-05,2,0.593241374,4.34357E-05
0.595733643,5.79E-05,2,0.595733643,4.61273E-05,2,0.595611572,2.77802E-05,2,0.595692953,4.39463E-05
0.598114014,5.84E-05,2,0.598144531,4.65973E-05,2,0.598052979,2.80182E-05,2,0.598103841,4.43543E-05
0.600524902,5.91E-05,2,0.600585938,4.71375E-05,2,0.600463867,2.82928E-05,2,0.600524902,4.48435E-05
0.602996826,5.97E-05,2,0.603057861,4.77203E-05,2,0.602935791,2.85797E-05,2,0.602996826,4.53481E-05
0.600494385,5.22E-05,2,0.600494385,4.14734E-05,2,0.600494385,2.62024E-05,2,0.600494385,3.99434E-05
0.598083496,4.70E-05,2,0.598144531,3.76831E-05,2,0.598083496,2.45514E-05,2,0.598103841,3.63973E-05
0.595581055,4.29E-05,2,0.595733643,3.48724E-05,2,0.59564209,2.32361E-05,2,0.595652262,3.36711E-05
0.593200684,3.94E-05,2,0.593139648,3.2486E-05,2,0.593139648,2.20734E-05,2,0.593159994,3.13304E-05
0.590667725,3.65E-05,2,0.590759277,3.05573E-05,2,0.590789795,2.10815E-05,2,0.590738932,2.93833E-05
0.588165283,3.39E-05,2,0.588226318,2.87659E-05,2,0.588256836,2.0166E-05,2,0.588216146,2.76082E-05
0.585693359,3.16E-05,2,0.585845947,2.724E-05,2,0.58581543,1.93359E-05,2,0.585784912,2.60467E-05
0.583343506,2.94E-05,2,0.583435059,2.58057E-05,2,0.583343506,1.85638E-05,2,0.583374024,2.46002E-05
0.5809021,2.76E-05,2,0.580963135,2.45789E-05,2,0.5809021,1.78741E-05,2,0.580922445,2.33409E-05
0.578369141,2.57E-05,2,0.578491211,2.33032E-05,2,0.578430176,1.71753E-05,2,0.578430176,2.2055E-05
0.57598877,2.41E-05,2,0.57598877,2.22229E-05,2,0.576049805,1.65649E-05,2,0.576009115,2.09534E-05
0.573486328,2.25E-05,2,0.573608398,2.11823E-05,2,0.573608398,1.59668E-05,2,0.573567708,1.98964E-05
0.571014404,2.11E-05,2,0.571136475,2.02179E-05,2,0.571014404,1.54205E-05,2,0.571055094,1.89239E-05
0.568572998,1.98E-05,2,0.568664551,1.93146E-05,2,0.568695068,1.48804E-05,2,0.568644206,1.79942E-05
0.566192627,1.86E-05,2,0.56628418,1.84967E-05,2,0.566192627,1.44043E-05,2,0.566223145,1.71651E-05
