Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
-0.196166992,-0.000193237,1,-0.195953369,-4.11346E-05,1,-0.196044922,-6.81152E-05,1,-0.196055094,-0.000100829
-0.193725586,-0.000134308,1,-0.193450928,-3.68073E-05,1,-0.193572998,-6.18591E-05,1,-0.193583171,-7.76581E-05
-0.191223145,-0.000100708,1,-0.191070557,-3.42133E-05,1,-0.191101074,-5.74341E-05,1,-0.191131592,-6.41184E-05
-0.188751221,-7.98E-05,1,-0.18862915,-3.24188E-05,1,-0.188751221,-5.39551E-05,1,-0.188710531,-5.53823E-05
-0.18637085,-6.55E-05,1,-0.186187744,-3.10272E-05,1,-0.186157227,-5.10559E-05,1,-0.186238607,-4.91913E-05
-0.183898926,-5.56E-05,1,-0.18371582,-2.995E-05,1,-0.18371582,-4.86389E-05,1,-0.183776856,-4.47306E-05
-0.181549072,-4.83E-05,1,-0.181304932,-2.90649E-05,1,-0.181274414,-4.64233E-05,1,-0.181376139,-4.12781E-05
-0.179077148,-4.28E-05,1,-0.178924561,-2.83051E-05,1,-0.17880249,-4.44336E-05,1,-0.178934733,-3.8502E-05
-0.17654419,-3.83E-05,1,-0.176391602,-2.7655E-05,1,-0.176422119,-4.26117E-05,1,-0.176452637,-3.61979E-05
-0.174194336,-3.49E-05,1,-0.174194336,-2.69501E-05,1,-0.174011231,-4.09698E-05,1,-0.174133301,-3.42784E-05
-0.17175293,-3.20E-05,1,-0.171661377,-2.64313E-05,1,-0.171783447,-3.93005E-05,1,-0.171732585,-3.25826E-05
-0.169464111,-2.94E-05,1,-0.169250488,-2.59674E-05,1,-0.169281006,-3.78754E-05,1,-0.169331868,-3.10913E-05
-0.16696167,-2.74E-05,1,-0.1668396,-2.55432E-05,1,-0.1668396,-3.65448E-05,1,-0.16688029,-2.98309E-05
-0.164489746,-2.57E-05,1,-0.164337158,-2.51617E-05,1,-0.164367676,-3.52997E-05,1,-0.164398193,-2.87099E-05
-0.162017822,-2.41E-05,1,-0.161865234,-2.47864E-05,1,-0.16192627,-3.41156E-05,1,-0.161936442,-2.76642E-05
-0.159576416,-2.29E-05,1,-0.159484863,-2.44568E-05,1,-0.159484863,-3.3017E-05,1,-0.159515381,-2.67761E-05
-0.157165527,-2.17E-05,1,-0.15701294,-2.41455E-05,1,-0.156982422,-3.19672E-05,1,-0.157053629,-2.59328E-05
-0.154785156,-2.06E-05,1,-0.154571533,-2.38525E-05,1,-0.154602051,-3.09692E-05,1,-0.154652913,-2.51485E-05
-0.152282715,-1.97E-05,1,-0.152069092,-2.35657E-05,1,-0.152160645,-3.0014E-05,1,-0.152170817,-2.44161E-05
-0.149810791,-1.89E-05,1,-0.149688721,-2.33093E-05,1,-0.149719238,-2.9129E-05,1,-0.149739583,-2.37752E-05
-0.147338867,-1.80E-05,1,-0.147247315,-2.3056E-05,1,-0.147277832,-2.82501E-05,1,-0.147288005,-2.3111E-05
-0.144897461,-1.74E-05,1,-0.144683838,-2.2818E-05,1,-0.144836426,-2.74506E-05,1,-0.144805908,-2.25596E-05
-0.14251709,-1.67E-05,1,-0.142333984,-2.25922E-05,1,-0.142425537,-2.66602E-05,1,-0.142425537,-2.19971E-05
-0.140045166,-1.61E-05,1,-0.139923096,-2.23755E-05,1,-0.139953613,-2.59033E-05,1,-0.139973958,-2.14722E-05
-0.137542725,-1.55E-05,1,-0.13748169,-2.21588E-05,1,-0.137420654,-2.51709E-05,1,-0.13748169,-2.09493E-05
-0.135101318,-1.51E-05,1,-0.135040283,-2.19635E-05,1,-0.135040283,-2.44873E-05,1,-0.135060628,-2.05119E-05
-0.132720947,-1.46E-05,1,-0.132598877,-2.17712E-05,1,-0.132537842,-2.3819E-05,1,-0.132619222,-2.00602E-05
-0.130340576,-1.41E-05,1,-0.130126953,-2.1582E-05,1,-0.130126953,-2.3172E-05,1,-0.130198161,-1.96289E-05
-0.127838135,-1.37E-05,1,-0.127716065,-2.1402E-05,1,-0.127624512,-2.25525E-05,1,-0.127726237,-1.9222E-05
-0.125396729,-1.33E-05,1,-0.125213623,-2.1228E-05,1,-0.125305176,-2.19482E-05,1,-0.125305176,-1.88294E-05
-0.122894287,-1.29E-05,1,-0.122711182,-2.10541E-05,1,-0.122711182,-2.13623E-05,1,-0.122772217,-1.84275E-05
-0.120483398,-1.26E-05,1,-0.120300293,-2.08954E-05,1,-0.120330811,-2.0813E-05,1,-0.120371501,-1.8099E-05
-0.118041992,-1.22E-05,1,-0.117919922,-2.07275E-05,1,-0.117889404,-2.02728E-05,1,-0.117950439,-1.77419E-05
-0.115600586,-1.19E-05,1,-0.115447998,-2.0575E-05,1,-0.115386963,-1.97449E-05,1,-0.115478516,-1.73981E-05
-0.113189697,-1.15E-05,1,-0.112976074,-2.04163E-05,1,-0.112945557,-1.92291E-05,1,-0.113037109,-1.70573E-05
-0.110717773,-1.13E-05,1,-0.110534668,-2.0282E-05,1,-0.110534668,-0.00001875,1,-0.110595703,-1.67847E-05
-0.108154297,-1.09E-05,1,-0.108123779,-2.01263E-05,1,-0.108032227,-1.82556E-05,1,-0.108103434,-1.64439E-05
-0.105804443,-1.07E-05,1,-0.105682373,-1.99951E-05,1,-0.105712891,-1.7807E-05,1,-0.105733236,-1.61824E-05
-0.103363037,-1.05E-05,1,-0.103240967,-1.98547E-05,1,-0.103210449,-1.73553E-05,1,-0.103271484,-1.58936E-05
-0.100860596,-1.02E-05,1,-0.100830078,-1.97144E-05,1,-0.100769043,-1.69159E-05,1,-0.100819906,-1.56138E-05
-0.098419189,-9.89E-06,1,-0.098327637,-1.9577E-05,1,-0.098327637,-1.64764E-05,1,-0.098358154,-1.53147E-05
-0.096038818,-9.75E-06,1,-0.09588623,-1.9455E-05,1,-0.095855713,-1.60797E-05,1,-0.09592692,-1.5094E-05
-0.093597412,-9.50E-06,1,-0.093444824,-1.93298E-05,1,-0.093414307,-1.56769E-05,1,-0.093485514,-1.48366E-05
-0.091125488,-9.26E-06,1,-0.091003418,-1.91986E-05,1,-0.091064453,-1.52802E-05,1,-0.091064453,-1.45782E-05
-0.0887146,-9.04E-06,1,-0.088592529,-1.90735E-05,1,-0.088531494,-1.49017E-05,1,-0.088612874,-1.43372E-05
-0.086242676,-8.83E-06,1,-0.086181641,-1.89484E-05,1,-0.086151123,-1.45325E-05,1,-0.086191813,-1.41042E-05
-0.083862305,-8.56E-06,1,-0.083679199,-1.88293E-05,1,-0.083648682,-1.41541E-05,1,-0.083730062,-1.38489E-05
-0.081359863,-8.44E-06,1,-0.081329346,-1.87164E-05,1,-0.081207275,-1.38153E-05,1,-0.081298828,-1.36576E-05
-0.078918457,-8.23E-06,1,-0.078826904,-1.85974E-05,1,-0.078765869,-1.34613E-05,1,-0.078837077,-1.34288E-05
-0.076446533,-8.02E-06,1,-0.076416016,-1.84814E-05,1,-0.07635498,-1.31195E-05,1,-0.076405843,-1.3206E-05
-0.074005127,-7.80E-06,1,-0.073852539,-1.83594E-05,1,-0.073822021,-1.27808E-05,1,-0.073893229,-1.29801E-05
-0.071533203,-7.67E-06,1,-0.07144165,-1.82587E-05,1,-0.07144165,-1.24786E-05,1,-0.071472168,-1.28031E-05
-0.069091797,-7.41E-06,1,-0.069000244,-1.81335E-05,1,-0.068969727,-1.2149E-05,1,-0.069020589,-1.25631E-05
-0.066711426,-7.31E-06,1,-0.066650391,-1.80298E-05,1,-0.066497803,-1.1853E-05,1,-0.066619873,-1.23962E-05
-0.064331055,-7.11E-06,1,-0.064117432,-1.79138E-05,1,-0.064056396,-1.15479E-05,1,-0.064168294,-1.21918E-05
-0.061798096,-6.95E-06,1,-0.061676025,-1.7804E-05,1,-0.06161499,-1.12457E-05,1,-0.061696371,-1.20005E-05
-0.059326172,-6.70E-06,1,-0.059265137,-1.7691E-05,1,-0.059204102,-1.09467E-05,1,-0.059265137,-1.17778E-05
-0.056854248,-6.63E-06,1,-0.056762695,-1.75842E-05,1,-0.056762695,-1.0675E-05,1,-0.056793213,-1.16282E-05
-0.054473877,-6.42E-06,1,-0.054351807,-1.74805E-05,1,-0.054351807,-1.03943E-05,1,-0.054392497,-1.14319E-05
-0.052062988,-6.25E-06,1,-0.0519104,-1.73615E-05,1,-0.051818848,-1.01166E-05,1,-0.051930745,-1.12437E-05
-0.0496521,-6.08E-06,1,-0.049438477,-1.72546E-05,1,-0.049365234,-9.84802E-06,1,-0.04948527,-1.10606E-05
-0.04708252,-5.90E-06,1,-0.046951294,-1.71356E-05,1,-0.046905518,-9.58557E-06,1,-0.046979777,-1.08724E-05
-0.044628906,-5.69E-06,1,-0.04442749,-1.70288E-05,1,-0.044445801,-9.31091E-06,1,-0.044500732,-1.0675E-05
-0.042218018,-5.60E-06,1,-0.042016602,-1.69159E-05,1,-0.04201355,-9.07593E-06,1,-0.042082723,-1.05296E-05
-0.039801025,-5.42E-06,1,-0.039614868,-1.6806E-05,1,-0.039620972,-8.81958E-06,1,-0.039678955,-1.03485E-05
-0.037353516,-5.27E-06,1,-0.037161255,-1.66901E-05,1,-0.03717041,-8.57239E-06,1,-0.037228394,-1.01766E-05
-0.034896851,-5.05E-06,1,-0.034698486,-1.6571E-05,1,-0.034713745,-8.32214E-06,1,-0.034769694,-9.98128E-06
