Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
-0.19619751,-0.000176331,1,-0.196044922,-6.02722E-05,1,-0.196044922,-6.71997E-05,1,-0.196095785,-0.000101268
-0.193664551,-0.000130432,1,-0.193511963,-5.13306E-05,1,-0.193603516,-5.87463E-05,1,-0.193593343,-8.01696E-05
-0.19128418,-0.000102478,1,-0.191101074,-4.59625E-05,1,-0.191101074,-5.34363E-05,1,-0.191162109,-6.72923E-05
-0.188873291,-8.40E-05,1,-0.188659668,-4.22211E-05,1,-0.188690186,-4.96216E-05,1,-0.188741048,-5.86192E-05
-0.186462402,-7.09E-05,1,-0.186187744,-3.93768E-05,1,-0.186187744,-4.67438E-05,1,-0.186279297,-5.23478E-05
-0.183959961,-6.15E-05,1,-0.18371582,-3.71857E-05,1,-0.183746338,-4.43604E-05,1,-0.183807373,-4.76898E-05
-0.181488037,-5.44E-05,1,-0.181335449,-3.53668E-05,1,-0.181396484,-4.2334E-05,1,-0.181406657,-4.40175E-05
-0.179016113,-4.89E-05,1,-0.179077148,-3.37067E-05,1,-0.178924561,-4.05762E-05,1,-0.179005941,-4.10461E-05
-0.176574707,-4.43E-05,1,-0.176605225,-3.23975E-05,1,-0.176727295,-3.88824E-05,1,-0.176635742,-3.85345E-05
-0.174163818,-4.08E-05,1,-0.174102783,-3.12836E-05,1,-0.174194336,-3.75397E-05,1,-0.174153646,-3.65265E-05
-0.17175293,-3.77E-05,1,-0.171691895,-3.02826E-05,1,-0.171783447,-3.63007E-05,1,-0.171742757,-3.47575E-05
-0.169311523,-3.51E-05,1,-0.169311523,-2.93915E-05,1,-0.169250488,-3.51624E-05,1,-0.169291178,-3.32204E-05
-0.16708374,-3.27E-05,1,-0.1668396,-2.85919E-05,1,-0.166809082,-3.41339E-05,1,-0.166910807,-3.18146E-05
-0.164550781,-3.08E-05,1,-0.164337158,-2.78687E-05,1,-0.164428711,-3.31757E-05,1,-0.164438883,-3.06152E-05
-0.162139893,-2.90E-05,1,-0.161865234,-2.71912E-05,1,-0.161987305,-3.22632E-05,1,-0.161997477,-2.95003E-05
-0.159637451,-2.76E-05,1,-0.159423828,-2.6593E-05,1,-0.159484863,-3.14453E-05,1,-0.159515381,-2.85553E-05
-0.157226563,-2.63E-05,1,-0.15701294,-2.60315E-05,1,-0.157104492,-3.06519E-05,1,-0.157114665,-2.76469E-05
-0.154632568,-2.50E-05,1,-0.154571533,-2.54913E-05,1,-0.154663086,-2.99042E-05,1,-0.154622396,-2.68046E-05
-0.15234375,-2.39E-05,1,-0.152069092,-2.49969E-05,1,-0.152160645,-2.91931E-05,1,-0.152191162,-2.60285E-05
-0.149871826,-2.29E-05,1,-0.149658203,-2.45575E-05,1,-0.149780273,-2.8537E-05,1,-0.149770101,-2.53469E-05
-0.147399902,-2.19E-05,1,-0.14730835,-2.41058E-05,1,-0.147216797,-2.7887E-05,1,-0.14730835,-2.4646E-05
-0.144989014,-2.12E-05,1,-0.144775391,-2.37122E-05,1,-0.144866943,-2.72919E-05,1,-0.144877116,-2.40529E-05
-0.142547607,-2.03E-05,1,-0.142303467,-2.33307E-05,1,-0.14239502,-2.67029E-05,1,-0.142415364,-2.34589E-05
-0.140045166,-1.96E-05,1,-0.139953613,-2.29645E-05,1,-0.139953613,-2.61475E-05,1,-0.139984131,-2.28994E-05
-0.137634277,-1.88E-05,1,-0.137420654,-2.25952E-05,1,-0.137512207,-2.55981E-05,1,-0.137522379,-2.23419E-05
-0.135192871,-1.83E-05,1,-0.135040283,-2.22809E-05,1,-0.135070801,-2.51038E-05,1,-0.135101318,-2.18811E-05
-0.132720947,-1.76E-05,1,-0.132537842,-2.19635E-05,1,-0.132568359,-2.46063E-05,1,-0.132609049,-2.1402E-05
-0.130279541,-1.70E-05,1,-0.130126953,-2.16553E-05,1,-0.130249023,-2.41241E-05,1,-0.130218506,-2.09401E-05
