Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
-0.196136475,-0.000109131,1,-0.19619751,-3.80737E-05,1,-0.196228027,-4.47449E-05,1,-0.196187337,-6.39832E-05
-0.193725586,-8.97E-05,1,-0.193695068,-3.43964E-05,1,-0.193786621,-4.19067E-05,1,-0.193735759,-5.53344E-05
-0.191162109,-7.75E-05,1,-0.19128418,-3.22021E-05,1,-0.19128418,-3.97522E-05,1,-0.191243489,-4.98181E-05
-0.188781738,-6.90E-05,1,-0.188842773,-3.06854E-05,1,-0.188873291,-3.80005E-05,1,-0.188832601,-4.58953E-05
-0.186401367,-6.25E-05,1,-0.186340332,-2.95288E-05,1,-0.186309815,-3.64868E-05,1,-0.186350505,-4.28385E-05
-0.183868408,-5.74E-05,1,-0.183868408,-2.86224E-05,1,-0.183929443,-3.51746E-05,1,-0.183888753,-4.0399E-05
-0.181518555,-5.32E-05,1,-0.181488037,-2.78595E-05,1,-0.181518555,-3.39966E-05,1,-0.181508382,-3.8352E-05
-0.179046631,-4.97E-05,1,-0.179016113,-2.72095E-05,1,-0.178985596,-3.29285E-05,1,-0.179016113,-3.66126E-05
-0.176574707,-4.68E-05,1,-0.176574707,-2.66449E-05,1,-0.17654419,-3.19427E-05,1,-0.176564535,-3.51292E-05
-0.174163818,-4.42E-05,1,-0.174102783,-2.61566E-05,1,-0.174072266,-3.10547E-05,1,-0.174112956,-3.38038E-05
-0.171722412,-4.19E-05,1,-0.171722412,-2.57111E-05,1,-0.171722412,-3.02185E-05,1,-0.171722412,-3.26099E-05
-0.169311523,-3.98E-05,1,-0.169250488,-2.53113E-05,1,-0.169281006,-2.94373E-05,1,-0.169281006,-3.15162E-05
-0.167114258,-3.78E-05,1,-0.166748047,-2.4939E-05,1,-0.1668396,-2.87018E-05,1,-0.166900635,-3.04802E-05
-0.164520264,-3.61E-05,1,-0.164398193,-2.46033E-05,1,-0.164337158,-2.80121E-05,1,-0.164418539,-2.95718E-05
-0.16204834,-3.46E-05,1,-0.161865234,-2.42828E-05,1,-0.161895752,-2.7356E-05,1,-0.161936442,-2.87463E-05
-0.159667969,-3.32E-05,1,-0.159454346,-2.40021E-05,1,-0.159393311,-2.67395E-05,1,-0.159505208,-2.79805E-05
-0.157226563,-3.19E-05,1,-0.15701294,-2.37244E-05,1,-0.15701294,-2.61475E-05,1,-0.157084147,-2.72573E-05
-0.154754639,-3.07E-05,1,-0.154602051,-2.34589E-05,1,-0.154541016,-2.55829E-05,1,-0.154632568,-2.65806E-05
-0.152252197,-2.95E-05,1,-0.152160645,-2.32117E-05,1,-0.152130127,-2.50397E-05,1,-0.15218099,-2.59171E-05
-0.149993897,-2.85E-05,1,-0.149688721,-2.29889E-05,1,-0.149658203,-2.4527E-05,1,-0.149780274,-2.53386E-05
-0.14743042,-2.75E-05,1,-0.147216797,-2.27631E-05,1,-0.147186279,-2.40265E-05,1,-0.147277832,-2.47632E-05
-0.144989014,-2.66E-05,1,-0.144836426,-2.25555E-05,1,-0.144775391,-2.35535E-05,1,-0.144866943,-2.42363E-05
-0.142486572,-2.57E-05,1,-0.142303467,-2.23602E-05,1,-0.142364502,-2.30957E-05,1,-0.142384847,-2.37186E-05
-0.140167236,-2.48E-05,1,-0.139953613,-2.21649E-05,1,-0.139953613,-2.26532E-05,1,-0.140024821,-2.3206E-05
-0.137542725,-2.40E-05,1,-0.137420654,-2.19727E-05,1,-0.137420654,-2.22168E-05,1,-0.137461345,-2.27298E-05
-0.135162354,-2.33E-05,1,-0.135009766,-2.18048E-05,1,-0.135040283,-2.1814E-05,1,-0.135070801,-2.23063E-05
-0.132781982,-2.25E-05,1,-0.132598877,-2.16248E-05,1,-0.132507324,-2.14081E-05,1,-0.132629394,-2.18443E-05
-0.130279541,-2.19E-05,1,-0.130157471,-2.1463E-05,1,-0.130126953,-2.10175E-05,1,-0.130187988,-2.14602E-05
-0.127746582,-2.12E-05,1,-0.127655029,-2.12982E-05,1,-0.127655029,-2.06421E-05,1,-0.127685547,-2.10468E-05
-0.125427246,-2.06E-05,1,-0.125244141,-2.11456E-05,1,-0.125244141,-2.02728E-05,1,-0.125305176,-2.06728E-05
-0.122955322,-1.99E-05,1,-0.122772217,-2.099E-05,1,-0.122711182,-1.99127E-05,1,-0.122812907,-2.02676E-05
-0.120605469,-1.94E-05,1,-0.120330811,-2.08496E-05,1,-0.120330811,-1.95618E-05,1,-0.120422363,-1.99371E-05
-0.118103027,-1.88E-05,1,-0.11795044,-2.07062E-05,1,-0.117858887,-1.92291E-05,1,-0.117970784,-1.95784E-05
-0.115600586,-1.82E-05,1,-0.115478516,-2.05658E-05,1,-0.115417481,-1.88934E-05,1,-0.115498861,-1.92197E-05
-0.113189697,-1.77E-05,1,-0.112915039,-2.04254E-05,1,-0.112915039,-1.85699E-05,1,-0.113006592,-1.88985E-05
-0.110687256,-1.72E-05,1,-0.110595703,-2.02972E-05,1,-0.110443115,-1.82526E-05,1,-0.110575358,-1.85833E-05
-0.108215332,-1.67E-05,1,-0.108184815,-2.0166E-05,1,-0.108062744,-1.79474E-05,1,-0.108154297,-1.82711E-05
-0.105804443,-1.62E-05,1,-0.105651856,-2.00439E-05,1,-0.10559082,-1.76544E-05,1,-0.105682373,-1.79661E-05
