Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
-0.19619751,-0.000203491,1,-0.196258545,-4.20258E-05,1,-0.196014404,-5.94482E-05,1,-0.19615682,-0.000101655
-0.193756104,-0.000171234,1,-0.193817139,-3.74268E-05,1,-0.193481445,-5.34668E-05,1,-0.193684896,-8.73759E-05
-0.191314697,-0.000148621,1,-0.19128418,-3.47839E-05,1,-0.191009522,-4.94537E-05,1,-0.191202799,-7.76196E-05
-0.188842773,-0.000131866,1,-0.188812256,-3.30414E-05,1,-0.188659668,-4.64386E-05,1,-0.188771566,-7.04487E-05
-0.186401367,-0.0001185,1,-0.186340332,-3.17139E-05,1,-0.186157227,-4.40491E-05,1,-0.186299642,-6.47543E-05
-0.183929443,-0.000107819,1,-0.183929443,-3.06885E-05,1,-0.183746338,-4.2099E-05,1,-0.183868408,-6.02022E-05
-0.181518555,-9.88E-05,1,-0.18157959,-2.98401E-05,1,-0.181365967,-4.04327E-05,1,-0.181488037,-5.63527E-05
-0.179077148,-9.16E-05,1,-0.179016113,-2.91229E-05,1,-0.179077148,-3.88702E-05,1,-0.179056803,-5.3182E-05
-0.176635742,-8.50E-05,1,-0.176513672,-2.85004E-05,1,-0.176574707,-3.76129E-05,1,-0.176574707,-5.03784E-05
-0.174163818,-7.95E-05,1,-0.174102783,-2.79724E-05,1,-0.174133301,-3.65204E-05,1,-0.174133301,-4.7997E-05
-0.171722412,-7.46E-05,1,-0.17175293,-2.74872E-05,1,-0.171783447,-3.55225E-05,1,-0.17175293,-4.58852E-05
-0.169281006,-7.05E-05,1,-0.169219971,-2.70447E-05,1,-0.169219971,-3.46222E-05,1,-0.169240316,-4.40542E-05
-0.166809082,-6.64E-05,1,-0.166717529,-2.66541E-05,1,-0.1668396,-3.37982E-05,1,-0.166788737,-4.22964E-05
-0.164276123,-6.31E-05,1,-0.164367676,-2.62848E-05,1,-0.164367676,-3.30322E-05,1,-0.164337158,-4.07989E-05
-0.16192627,-5.98E-05,1,-0.16192627,-2.59399E-05,1,-0.161834717,-3.23242E-05,1,-0.161895752,-3.93697E-05
-0.159454346,-5.71E-05,1,-0.159545898,-2.56439E-05,1,-0.159423828,-3.16742E-05,1,-0.159474691,-3.81287E-05
-0.15701294,-5.43E-05,1,-0.156982422,-2.53479E-05,1,-0.156982422,-3.10547E-05,1,-0.156992595,-3.68978E-05
-0.154632568,-5.18E-05,1,-0.154571533,-2.50641E-05,1,-0.154571533,-3.04718E-05,1,-0.154591878,-3.57951E-05
-0.152130127,-4.96E-05,1,-0.152191162,-2.47894E-05,1,-0.152160645,-2.99194E-05,1,-0.152160645,-3.47667E-05
-0.149749756,-4.76E-05,1,-0.149688721,-2.45605E-05,1,-0.149688721,-2.94128E-05,1,-0.149709066,-3.38674E-05
-0.147277832,-4.57E-05,1,-0.147277832,-2.43103E-05,1,-0.147247315,-2.89063E-05,1,-0.14726766,-3.29671E-05
-0.144775391,-4.39E-05,1,-0.144805908,-2.40845E-05,1,-0.144836426,-2.84454E-05,1,-0.144805908,-3.21564E-05
-0.14239502,-4.22E-05,1,-0.142364502,-2.3877E-05,1,-0.142333984,-2.79907E-05,1,-0.142364502,-3.13456E-05
-0.140228272,-4.05E-05,1,-0.139953613,-2.36603E-05,1,-0.139953613,-2.75696E-05,1,-0.140045166,-3.05634E-05
-0.137664795,-3.89E-05,1,-0.137420654,-2.34619E-05,1,-0.137512207,-2.71484E-05,1,-0.137532552,-2.98462E-05
-0.135253906,-3.76E-05,1,-0.135070801,-2.32788E-05,1,-0.135040283,-2.67426E-05,1,-0.135121663,-2.91982E-05
