Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
-0.196166992,-6.86E-05,1,-0.196228027,-4.28406E-05,1,-0.196014404,-7.46765E-05,1,-0.196136475,-6.21E-05
-0.193725586,-6.15E-05,1,-0.193756104,-3.79944E-05,1,-0.193603516,-6.39343E-05,1,-0.193695068,-5.45E-05
-0.191192627,-5.72E-05,1,-0.19128418,-3.51654E-05,1,-0.191162109,-5.70984E-05,1,-0.191212972,-4.98E-05
-0.188873291,-5.43E-05,1,-0.188781738,-3.32184E-05,1,-0.188751221,-5.22766E-05,1,-0.188802083,-4.66E-05
-0.18637085,-5.20E-05,1,-0.186340332,-3.17566E-05,1,-0.186248779,-4.86237E-05,1,-0.186319987,-4.41E-05
-0.183959961,-5.02E-05,1,-0.183959961,-3.06E-05,1,-0.183807373,-4.56848E-05,1,-0.183909098,-4.22E-05
-0.181518555,-4.89E-05,1,-0.181549072,-2.96509E-05,1,-0.181365967,-4.32434E-05,1,-0.181477865,-4.06E-05
-0.179077148,-4.76E-05,1,-0.179107666,-2.88361E-05,1,-0.178955078,-4.11621E-05,1,-0.179046631,-3.92E-05
-0.176605225,-4.66E-05,1,-0.17654419,-2.81189E-05,1,-0.176391602,-3.93585E-05,1,-0.176513672,-3.80E-05
-0.174133301,-4.56E-05,1,-0.174102783,-2.75177E-05,1,-0.174316406,-3.76587E-05,1,-0.174184164,-3.69E-05
-0.171722412,-4.48E-05,1,-0.171691895,-2.69562E-05,1,-0.171844482,-3.62549E-05,1,-0.17175293,-3.60E-05
-0.169616699,-4.39E-05,1,-0.169250488,-2.64526E-05,1,-0.169372559,-3.49884E-05,1,-0.169413249,-3.51E-05
-0.167022705,-4.31E-05,1,-0.166809082,-2.59857E-05,1,-0.166931152,-3.38379E-05,1,-0.16692098,-3.43E-05
-0.164581299,-4.25E-05,1,-0.164398193,-2.55676E-05,1,-0.164459229,-3.27881E-05,1,-0.164479574,-3.36E-05
-0.162200928,-4.19E-05,1,-0.161956787,-2.51648E-05,1,-0.16192627,-3.18115E-05,1,-0.162027995,-3.29E-05
-0.159759522,-4.13E-05,1,-0.159484863,-2.48016E-05,1,-0.159515381,-3.09265E-05,1,-0.159586589,-3.23E-05
-0.157226563,-4.08E-05,1,-0.157104492,-2.44659E-05,1,-0.15713501,-3.00812E-05,1,-0.157155355,-3.18E-05
-0.154876709,-4.03E-05,1,-0.154632568,-2.41364E-05,1,-0.154632568,-2.92999E-05,1,-0.154713949,-3.12E-05
-0.152313232,-3.98E-05,1,-0.152130127,-2.38312E-05,1,-0.152130127,-2.85553E-05,1,-0.152191162,-3.07E-05
-0.149932861,-3.93E-05,1,-0.149688721,-2.35413E-05,1,-0.149841309,-2.78809E-05,1,-0.149820963,-3.03E-05
-0.147491455,-3.89E-05,1,-0.147216797,-2.32605E-05,1,-0.147247315,-2.72095E-05,1,-0.147318522,-2.98E-05
-0.145080566,-3.85E-05,1,-0.144805908,-2.30042E-05,1,-0.144958496,-2.65991E-05,1,-0.144948323,-2.94E-05
-0.142608643,-3.81E-05,1,-0.142425537,-2.27509E-05,1,-0.14251709,-2.6001E-05,1,-0.14251709,-2.89E-05
-0.140167236,-3.77E-05,1,-0.139984131,-2.25037E-05,1,-0.139984131,-2.54395E-05,1,-0.140045166,-2.85E-05
-0.137664795,-3.73E-05,1,-0.137420654,-2.22748E-05,1,-0.137451172,-2.4884E-05,1,-0.137512207,-2.81E-05
-0.135314941,-3.69E-05,1,-0.135009766,-2.20612E-05,1,-0.135040283,-2.43774E-05,1,-0.135121663,-2.78E-05
-0.132781982,-3.66E-05,1,-0.132598877,-2.18384E-05,1,-0.132629395,-2.38831E-05,1,-0.132670085,-2.74E-05
-0.130371094,-3.62E-05,1,-0.130157471,-2.16339E-05,1,-0.130126953,-2.34039E-05,1,-0.130218506,-2.71E-05
-0.127929688,-3.59E-05,1,-0.127746582,-2.14294E-05,1,-0.1277771,-2.29401E-05,1,-0.12781779,-2.68E-05
-0.125488281,-3.56E-05,1,-0.125244141,-2.12433E-05,1,-0.125305176,-2.24945E-05,1,-0.125345866,-2.64E-05
-0.12298584,-3.52E-05,1,-0.122772217,-2.10358E-05,1,-0.122833252,-2.20551E-05,1,-0.12286377,-2.61E-05
-0.120574951,-3.49E-05,1,-0.120361328,-2.08649E-05,1,-0.120391846,-2.16553E-05,1,-0.120442708,-2.58E-05
-0.118164063,-3.46E-05,1,-0.117980957,-2.06909E-05,1,-0.118011475,-2.12555E-05,1,-0.118052165,-2.55E-05
-0.115722656,-3.43E-05,1,-0.115447998,-2.05017E-05,1,-0.115509033,-2.08649E-05,1,-0.115559896,-2.52E-05
-0.113220215,-3.40E-05,1,-0.113006592,-2.03339E-05,1,-0.113037109,-2.04803E-05,1,-0.113087972,-2.49E-05
-0.110839844,-3.37E-05,1,-0.11050415,-2.01782E-05,1,-0.110626221,-2.01294E-05,1,-0.110656738,-2.47E-05
-0.108306885,-3.34E-05,1,-0.108062744,-2.00104E-05,1,-0.108123779,-1.97601E-05,1,-0.108164469,-2.44E-05
-0.105926514,-3.32E-05,1,-0.105804443,-1.98547E-05,1,-0.105712891,-1.94305E-05,1,-0.105814616,-2.42E-05
-0.103485107,-3.29E-05,1,-0.103302002,-1.96991E-05,1,-0.103302002,-1.90887E-05,1,-0.103363037,-2.39E-05
-0.101043701,-3.26E-05,1,-0.100799561,-1.95557E-05,1,-0.100921631,-1.87561E-05,1,-0.100921631,-2.36E-05
-0.09854126,-3.23E-05,1,-0.098297119,-1.93909E-05,1,-0.098297119,-1.84235E-05,1,-0.098378499,-2.34E-05
-0.096191406,-3.21E-05,1,-0.095947266,-1.92596E-05,1,-0.095916748,-1.81244E-05,1,-0.096018473,-2.31E-05
-0.09375,-3.18E-05,1,-0.093505859,-1.91132E-05,1,-0.093536377,-1.78162E-05,1,-0.093597412,-2.29E-05
-0.091217041,-3.15E-05,1,-0.091094971,-1.89758E-05,1,-0.091125488,-1.75232E-05,1,-0.091145833,-2.27E-05
-0.088897705,-3.13E-05,1,-0.088684082,-1.88232E-05,1,-0.088623047,-1.72272E-05,1,-0.088734945,-2.24E-05
