Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
-0.086212158,-1.25E-05,1,-0.086242676,-1.97113E-05,1,-0.086151123,-1.409E-05,1,-0.086201986,-1.54185E-05
-0.083740234,-1.11E-05,1,-0.083709717,-1.95343E-05,1,-0.083557129,-1.37634E-05,1,-0.083669027,-1.47827E-05
-0.081298828,-9.84E-06,1,-0.081268311,-1.93665E-05,1,-0.081268311,-1.34766E-05,1,-0.081278483,-1.42273E-05
-0.078887939,-8.57E-06,1,-0.078857422,-1.92047E-05,1,-0.078765869,-1.31744E-05,1,-0.078837077,-1.36505E-05
-0.076416016,-7.32E-06,1,-0.076416016,-1.90308E-05,1,-0.07635498,-1.28754E-05,1,-0.076395671,-1.30768E-05
-0.073944092,-6.12E-06,1,-0.074005127,-1.8866E-05,1,-0.073944092,-1.25854E-05,1,-0.073964437,-1.25224E-05
-0.071563721,-5.04E-06,1,-0.071563721,-1.87073E-05,1,-0.071411133,-1.23199E-05,1,-0.071512858,-1.20229E-05
-0.069000244,-3.85E-06,1,-0.069030762,-1.85272E-05,1,-0.069030762,-1.2027E-05,1,-0.069020589,-1.1467E-05
-0.066619873,-2.85E-06,1,-0.066650391,-1.83838E-05,1,-0.066650391,-1.17737E-05,1,-0.066640218,-1.10025E-05
-0.064086914,-1.78E-06,1,-0.064208984,-1.82129E-05,1,-0.064178467,-1.15021E-05,1,-0.064158122,-1.04996E-05
-0.061737061,-7.59E-07,1,-0.061767578,-1.80542E-05,1,-0.061706543,-1.12488E-05,1,-0.061737061,-1.00205E-05
-0.059173584,3.11E-07,1,-0.059173584,-1.78925E-05,1,-0.059265137,-1.09741E-05,1,-0.059204102,-9.51843E-06
-0.056610107,1.19E-06,1,-0.05682373,-1.77429E-05,1,-0.056793213,-1.07452E-05,1,-0.05674235,-9.09892E-06
-0.054168701,2.16E-06,1,-0.054412842,-1.75873E-05,1,-0.054351807,-1.0495E-05,1,-0.054311116,-8.63953E-06
-0.051757813,3.08E-06,1,-0.051940918,-1.74225E-05,1,-0.0519104,-1.02509E-05,1,-0.05186971,-8.19804E-06
-0.049423218,3.96E-06,1,-0.049560547,-1.72699E-05,1,-0.049407959,-1.00159E-05,1,-0.049463908,-7.7769E-06
-0.047009277,4.84E-06,1,-0.046954346,-1.71112E-05,1,-0.046990967,-9.78088E-06,1,-0.046984863,-7.35046E-06
-0.044525146,5.76E-06,1,-0.044482422,-1.69434E-05,1,-0.044494629,-9.53369E-06,1,-0.044500732,-6.90664E-06
-0.042102051,6.50E-06,1,-0.042086792,-1.67969E-05,1,-0.042086792,-9.32617E-06,1,-0.042091878,-6.54185E-06
-0.039685059,7.32E-06,1,-0.039620972,-1.66321E-05,1,-0.039657593,-9.10034E-06,1,-0.039654541,-6.1381E-06
-0.037258911,8.11E-06,1,-0.037207031,-1.64673E-05,1,-0.037185669,-8.87756E-06,1,-0.037217204,-5.74646E-06
-0.034780884,8.92E-06,1,-0.034738159,-1.63086E-05,1,-0.034732056,-8.66089E-06,1,-0.034750366,-5.34871E-06
-0.032409668,9.59E-06,1,-0.032315063,-1.61469E-05,1,-0.032354736,-8.45642E-06,1,-0.032359823,-5.00387E-06
-0.029922485,1.04E-05,1,-0.029855347,-1.59698E-05,1,-0.029870605,-8.22449E-06,1,-0.029882812,-4.58781E-06
-0.027514648,1.11E-05,1,-0.027438354,-1.58142E-05,1,-0.027416992,-8.03223E-06,1,-0.027456665,-4.26128E-06
-0.02505188,1.18E-05,1,-0.025024414,-1.56403E-05,1,-0.025009155,-7.82166E-06,1,-0.025028483,-3.892E-06
-0.022647095,1.25E-05,1,-0.022573853,-1.54755E-05,1,-0.02258606,-7.61719E-06,1,-0.022602336,-3.53395E-06
-0.020144653,1.32E-05,1,-0.020092773,-1.52863E-05,1,-0.020089722,-7.40051E-06,1,-0.020109049,-3.14839E-06
-0.017694092,1.38E-05,1,-0.017672729,-1.51184E-05,1,-0.017678833,-7.22046E-06,1,-0.017681885,-2.83812E-06
-0.015267944,1.45E-05,1,-0.01524353,-1.49261E-05,1,-0.01522522,-7.01599E-06,1,-0.015245565,-2.48515E-06
-0.0128479,1.51E-05,1,-0.012808228,-1.47461E-05,1,-0.012802124,-6.81458E-06,1,-0.012819417,-2.14539E-06
-0.010391235,1.57E-05,1,-0.01036377,-1.45508E-05,1,-0.010357666,-6.61926E-06,1,-0.01037089,-1.80868E-06
-0.007962036,1.64E-05,1,-0.007904053,-1.43433E-05,1,-0.007904053,-6.427E-06,1,-0.00792338,-1.46789E-06
-0.005477905,1.70E-05,1,-0.00539856,-1.41357E-05,1,-0.005419922,-6.21948E-06,1,-0.005432129,-1.11084E-06
-0.003079224,1.75E-05,1,-0.003036499,-1.39343E-05,1,-0.003039551,-6.04248E-06,1,-0.003051758,-8.17869E-07
-0.000598145,1.81E-05,1,-0.000570679,-1.37207E-05,1,-0.000592041,-5.85022E-06,1,-0.000586955,-4.80141E-07
0.001879883,1.88E-05,1,0.001889038,-1.34766E-05,1,0.001940918,-5.6427E-06,1,0.00190328,-1.15954E-07
0.004333496,1.94E-05,1,0.004382324,-1.32416E-05,1,0.004364014,-5.45349E-06,1,0.004359945,2.21777E-07
0.006716919,1.98E-05,1,0.006790161,-1.30157E-05,1,0.006750488,-5.28564E-06,1,0.006752523,5.07603E-07
0.009216309,2.04E-05,1,0.009246826,-1.27411E-05,1,0.009246826,-5.07813E-06,1,0.009236654,8.72795E-07
0.01161499,2.09E-05,1,0.011663818,-0.0000125,1,0.01166687,-4.91028E-06,1,0.011648559,1.16067E-06
0.014044189,2.14E-05,1,0.014111328,-1.22192E-05,1,0.014074707,-4.72198E-06,1,0.014076741,1.49506E-06
0.016543579,2.20E-05,1,0.016574097,-1.19446E-05,1,0.016525269,-4.53156E-06,1,0.016547648,1.82912E-06
0.01897583,2.26E-05,1,0.019030762,-1.16211E-05,1,0.019018555,-4.33258E-06,1,0.019008382,2.20164E-06
0.021395874,2.30E-05,1,0.021429443,-1.13342E-05,1,0.021426392,-4.16046E-06,1,0.021417236,2.49604E-06
0.023831177,2.35E-05,1,0.023895264,-1.10138E-05,1,0.02381897,-3.96271E-06,1,0.02384847,2.8366E-06
0.026278687,2.40E-05,1,0.026324463,-1.06781E-05,1,0.026330566,-3.77441E-06,1,0.026311239,3.18216E-06
0.028717041,2.45E-05,1,0.028778076,-1.03302E-05,1,0.028738403,-3.58246E-06,1,0.028744507,3.52795E-06
0.031161499,2.50E-05,1,0.031234741,-9.95789E-06,1,0.031152344,-3.39508E-06,1,0.031182861,3.88338E-06
0.033673096,2.56E-05,1,0.033700562,-9.56421E-06,1,0.033660889,-3.18848E-06,1,0.033678182,4.27367E-06
0.03604126,2.60E-05,1,0.036108398,-9.17664E-06,1,0.036087036,-3.01361E-06,1,0.036078898,4.59342E-06
0.038485718,2.65E-05,1,0.038531494,-8.7616E-06,1,0.038516235,-2.81403E-06,1,0.038511149,4.96716E-06
0.040914917,2.70E-05,1,0.040963745,-8.31604E-06,1,0.040930176,-2.62268E-06,1,0.040936279,5.33813E-06
0.043356323,2.75E-05,1,0.043438721,-7.85217E-06,1,0.043423462,-2.41608E-06,1,0.043406169,5.74065E-06
0.045806885,2.79E-05,1,0.045822144,-7.38831E-06,1,0.045819092,-2.22717E-06,1,0.04581604,6.09761E-06
0.048284912,2.85E-05,1,0.048330688,-6.86646E-06,1,0.048297119,-2.00623E-06,1,0.04830424,6.54561E-06
0.05078125,2.89E-05,1,0.05065918,-6.35986E-06,1,0.050537109,-1.81824E-06,1,0.05065918,6.91347E-06
0.053192139,2.94E-05,1,0.053100586,-5.8136E-06,1,0.053070068,-1.60797E-06,1,0.053120931,7.34061E-06
0.05569458,3.00E-05,1,0.055541992,-5.25513E-06,1,0.055450439,-1.39404E-06,1,0.055562337,7.77201E-06
0.058105469,3.06E-05,1,0.058013916,-4.64203E-06,1,0.057952881,-1.16608E-06,1,0.058024089,8.24973E-06
0.060577393,3.10E-05,1,0.060455322,-4.06525E-06,1,0.06036377,-9.70459E-07,1,0.060465495,8.65163E-06
0.063079834,3.16E-05,1,0.062896729,-3.4259E-06,1,0.062896729,-7.4646E-07,1,0.062957764,9.12761E-06
0.06552124,3.21E-05,1,0.065307617,-2.76733E-06,1,0.065246582,-5.20935E-07,1,0.06535848,9.60134E-06
0.067932129,3.26E-05,1,0.067810059,-2.09595E-06,1,0.067749023,-2.98462E-07,1,0.067830404,1.00844E-05
0.070343018,3.32E-05,1,0.070129395,-1.40106E-06,1,0.07019043,-6.7749E-08,1,0.070220947,1.05862E-05
0.072906494,3.39E-05,1,0.072723389,-6.63147E-07,1,0.072753906,1.8396E-07,1,0.072794596,1.11318E-05
0.075256348,3.44E-05,1,0.075164795,4.55017E-08,1,0.075134277,3.98865E-07,1,0.07518514,1.16075E-05
0.077728271,3.50E-05,1,0.077545166,7.98645E-07,1,0.077636719,6.40259E-07,1,0.077636719,1.21516E-05
0.080230713,3.57E-05,1,0.08013916,1.57562E-06,1,0.079986572,8.93555E-07,1,0.080118815,1.27168E-05
0.082550049,3.64E-05,1,0.082641602,2.36053E-06,1,0.082550049,1.15082E-06,1,0.082580566,1.32971E-05
0.084991455,3.70E-05,1,0.085113525,3.14728E-06,1,0.084960938,1.38214E-06,1,0.085021973,1.38277E-05
0.087646484,3.78E-05,1,0.087585449,3.9801E-06,1,0.087493896,1.65649E-06,1,0.087575277,1.44674E-05
0.08996582,3.84E-05,1,0.090026855,4.76898E-06,1,0.08984375,1.8988E-06,1,0.089945475,1.50196E-05
0.092468262,3.92E-05,1,0.092559814,5.61157E-06,1,0.092285156,2.16187E-06,1,0.092437744,1.56506E-05
0.094818115,4.00E-05,1,0.095031738,6.44043E-06,1,0.09475708,2.42615E-06,1,0.094868978,1.62734E-05
0.097351074,4.08E-05,1,0.097137451,7.32117E-06,1,0.097320557,2.72125E-06,1,0.097269694,1.69634E-05
0.099731445,4.16E-05,1,0.099639893,8.12073E-06,1,0.09967041,2.97272E-06,1,0.099680583,1.7568E-05
0.102203369,4.25E-05,1,0.101928711,8.98132E-06,1,0.102111816,3.24799E-06,1,0.102081299,1.82437E-05
0.104553223,4.34E-05,1,0.104492188,9.82056E-06,1,0.104644775,3.52539E-06,1,0.104563395,1.89262E-05
0.107116699,4.44E-05,1,0.106933594,1.06628E-05,1,0.107086182,3.80493E-06,1,0.107045491,1.96175E-05
0.109436035,4.54E-05,1,0.109375,1.1499E-05,1,0.109558106,4.08569E-06,1,0.10945638,2.03225E-05
0.111999512,4.65E-05,1,0.111846924,1.23474E-05,1,0.111938477,4.3866E-06,1,0.111928304,2.10799E-05
0.1144104,4.75E-05,1,0.11428833,1.31256E-05,1,0.1144104,4.64813E-06,1,0.11436971,2.17469E-05
0.116851807,4.86E-05,1,0.116760254,1.39191E-05,1,0.116973877,4.9353E-06,1,0.116861979,2.24774E-05
0.119415283,4.99E-05,1,0.11920166,1.47552E-05,1,0.119415283,5.23834E-06,1,0.119344075,2.32864E-05
0.121795654,5.11E-05,1,0.121643066,1.55273E-05,1,0.121948242,5.5304E-06,1,0.121795654,2.40419E-05
0.124267578,5.22E-05,1,0.12411499,1.62445E-05,1,0.124298096,5.79376E-06,1,0.124226888,2.47411E-05
0.12677002,5.36E-05,1,0.126556397,1.69952E-05,1,0.126861572,6.09558E-06,1,0.12672933,2.55568E-05
0.129119873,5.48E-05,1,0.128997803,1.76758E-05,1,0.128936768,6.35986E-06,1,0.129018148,2.62675E-05
0.13168335,5.61E-05,1,0.131408691,1.83594E-05,1,0.131317139,6.64063E-06,1,0.131469727,2.70447E-05
0.134124756,5.75E-05,1,0.133850098,1.90094E-05,1,0.133758545,6.91833E-06,1,0.133911133,2.78188E-05
0.13659668,5.91E-05,1,0.136383057,1.96808E-05,1,0.136291504,7.20825E-06,1,0.136423747,2.86479E-05
0.138946533,6.04E-05,1,0.13873291,2.02423E-05,1,0.138702393,7.46155E-06,1,0.138793945,2.9364E-05
0.141143799,6.17E-05,1,0.141204834,2.08313E-05,1,0.141143799,7.72705E-06,1,0.141164144,3.00985E-05
0.143554688,6.33E-05,1,0.143707275,2.13806E-05,1,0.143554688,7.99866E-06,1,0.14360555,3.08807E-05
0.146026611,6.48E-05,1,0.146118164,2.19116E-05,1,0.146026611,8.255E-06,1,0.146057129,3.16518E-05
0.148406982,6.63E-05,1,0.14855957,2.2406E-05,1,0.148468018,8.5083E-06,1,0.14847819,3.24198E-05
0.150970459,6.80E-05,1,0.151000977,2.28943E-05,1,0.150878906,8.77991E-06,1,0.150950114,3.32225E-05
0.153320313,6.94E-05,1,0.153442383,2.33063E-05,1,0.153320313,9.01184E-06,1,0.153361003,3.39152E-05
0.155822754,7.10E-05,1,0.155853272,2.37152E-05,1,0.155822754,9.25598E-06,1,0.155832926,3.46619E-05
0.158172607,7.25E-05,1,0.15826416,2.40936E-05,1,0.15826416,9.48181E-06,1,0.158233642,3.53617E-05
0.160614014,7.42E-05,1,0.160705566,2.44629E-05,1,0.160675049,9.73511E-06,1,0.160664876,3.61186E-05
0.162994385,7.56E-05,1,0.16317749,2.47742E-05,1,0.163116455,9.94568E-06,1,0.16309611,3.67706E-05
0.165588379,7.72E-05,1,0.165710449,2.51038E-05,1,0.165527344,1.01959E-05,1,0.165608724,3.75132E-05
0.167907715,7.86E-05,1,0.168029785,2.53662E-05,1,0.167999268,1.04004E-05,1,0.167978923,3.81266E-05
0.170410156,8.01E-05,1,0.170440674,2.56195E-05,1,0.170318604,1.06232E-05,1,0.170389811,3.87838E-05
0.172790527,8.15E-05,1,0.172912598,2.58606E-05,1,0.172851563,1.08398E-05,1,0.172851562,3.94145E-05
0.175231934,8.30E-05,1,0.175354004,2.60986E-05,1,0.175354004,1.10626E-05,1,0.175313314,4.00665E-05
0.177703857,8.43E-05,1,0.17779541,2.62543E-05,1,0.177734375,1.12518E-05,1,0.177744547,4.05884E-05
0.180145264,8.55E-05,1,0.180328369,2.64374E-05,1,0.180175781,1.14594E-05,1,0.180216471,4.11458E-05
0.18258667,8.68E-05,1,0.18270874,2.65778E-05,1,0.182617188,1.16608E-05,1,0.182637533,4.16768E-05
0.185028076,8.80E-05,1,0.185089111,2.67242E-05,1,0.185028076,1.18591E-05,1,0.185048421,4.21784E-05
0.187561035,8.91E-05,1,0.187652588,2.68311E-05,1,0.187561035,1.20514E-05,1,0.187591553,4.26442E-05
0.190002441,9.02E-05,1,0.190063477,2.6947E-05,1,0.190032959,1.22589E-05,1,0.190032959,4.31284E-05
0.192382813,9.10E-05,1,0.192504883,2.7002E-05,1,0.192382813,1.24268E-05,1,0.192423503,4.34774E-05
0.194793701,9.19E-05,1,0.194946289,2.70691E-05,1,0.194885254,1.2619E-05,1,0.194875081,4.38487E-05
0.197265625,9.27E-05,1,0.197418213,2.71301E-05,1,0.19732666,1.28082E-05,1,0.197336833,4.41966E-05
0.199798584,9.34E-05,1,0.199920654,2.71759E-05,1,0.199768066,1.29974E-05,1,0.199829102,4.45292E-05
0.202178955,9.39E-05,1,0.202301025,2.7182E-05,1,0.202148438,1.31592E-05,1,0.202209473,4.47378E-05
0.204650879,9.45E-05,1,0.204742432,2.72064E-05,1,0.204650879,1.33545E-05,1,0.204681397,4.50144E-05
0.207092285,9.48E-05,1,0.207122803,2.72003E-05,1,0.207092285,1.35132E-05,1,0.207102458,4.51772E-05
0.209472656,9.52E-05,1,0.209625244,2.7182E-05,1,0.209533691,1.36902E-05,1,0.209543864,4.53522E-05
0.21194458,9.55E-05,1,0.212036133,2.71759E-05,1,0.21194458,1.38641E-05,1,0.211975098,4.54997E-05
0.214477539,9.57E-05,1,0.214508057,2.71637E-05,1,0.214477539,1.40533E-05,1,0.214487712,4.56502E-05
0.21685791,9.57E-05,1,0.216918945,2.71118E-05,1,0.216888428,1.42029E-05,1,0.216888428,4.56828E-05
0.219268799,9.58E-05,1,0.219360352,2.70691E-05,1,0.219268799,1.43707E-05,1,0.219299316,4.57448E-05
